,day_of_week,hour,source,destination,type,avg_distance,avg_lyft_price,avg_uber_price,preferred
216,6,9,Beacon Hill,South Station,xl,2.2971428571428567,14.1,15.75,Lyft
217,6,9,Beacon Hill,South Station,standard,2.2920000000000003,7.0,9.625,Lyft
218,6,9,Beacon Hill,South Station,black_xl,2.435,30.0,27.0,Uber
219,6,9,Beacon Hill,Fenway,xl,2.39,14.25,17.5,Lyft
220,6,9,Beacon Hill,Fenway,shared,2.362727272727273,7.416666666666667,7.7,Lyft
221,6,9,Beacon Hill,Fenway,lux,2.3706666666666667,20.1,21.3,Lyft
222,6,9,Beacon Hill,Fenway,black_xl,2.3642857142857143,30.0,28.0,Uber
223,6,9,Beacon Hill,Fenway,standard,2.356666666666667,9.0,10.5,Lyft
224,6,9,Beacon Hill,North End,black_xl,1.8946153846153848,29.875,27.7,Uber
225,6,9,Beacon Hill,North End,lux,1.8355000000000001,19.9,18.8,Uber
226,6,9,Beacon Hill,North End,xl,1.782666666666667,13.5,15.5,Lyft
227,6,9,Beacon Hill,North End,standard,1.6788888888888889,9.666666666666666,8.166666666666666,Uber
228,6,9,Beacon Hill,North End,shared,1.769166666666667,5.857142857142857,8.2,Lyft
229,6,9,Beacon Hill,Haymarket Square,lux,1.3255555555555556,14.5,16.5,Lyft
230,6,9,Beacon Hill,Haymarket Square,xl,1.3266666666666664,11.666666666666666,13.083333333333334,Lyft
231,6,9,Beacon Hill,Haymarket Square,shared,1.3319999999999999,5.0,7.75,Lyft
232,6,9,Beacon Hill,Haymarket Square,black_xl,1.3214285714285714,26.75,26.7,Uber
233,6,9,Theatre District,Boston University,xl,3.6163636363636367,21.5,16.8,Uber
234,6,9,Theatre District,Boston University,lux,3.744166666666666,31.428571428571427,21.2,Uber
235,6,9,Theatre District,Boston University,standard,3.5469999999999993,13.6,10.4,Uber
236,6,9,Theatre District,Boston University,shared,3.504166666666666,7.6,9.928571428571429,Lyft
237,6,9,Theatre District,Boston University,black_xl,3.6288888888888895,43.2,30.875,Uber
238,6,9,Theatre District,South Station,lux,0.5933333333333333,15.428571428571429,16.1,Lyft
239,6,9,Theatre District,South Station,standard,0.5709090909090908,7.0,8.071428571428571,Lyft
240,6,9,Theatre District,South Station,black_xl,0.5683333333333334,26.0,26.375,Lyft
241,6,9,Theatre District,South Station,shared,0.58875,3.875,7.125,Lyft
242,6,9,Theatre District,South Station,xl,0.5839999999999999,10.5,10.75,Lyft
243,6,9,Theatre District,Haymarket Square,xl,1.7025,13.5,12.5,Uber
244,6,9,Theatre District,Haymarket Square,shared,1.7000000000000002,5.166666666666667,8.5,Lyft
245,6,9,Theatre District,Haymarket Square,standard,1.705,9.4,8.0,Uber
246,6,9,Theatre District,Haymarket Square,black_xl,1.7025,27.833333333333332,26.75,Uber
247,6,9,Theatre District,North End,xl,1.7214285714285715,13.5,13.333333333333334,Uber
248,6,9,Theatre District,North End,shared,1.718,4.333333333333333,7.642857142857143,Lyft
249,6,9,Theatre District,North End,standard,1.6891666666666667,9.5,7.944444444444445,Uber
250,6,9,Theatre District,North End,lux,1.641,18.0,17.416666666666668,Uber
251,6,9,Theatre District,North End,black_xl,1.748888888888889,28.375,27.7,Uber
252,6,9,Theatre District,Fenway,xl,2.934444444444444,18.9,19.125,Lyft
253,6,9,Theatre District,Fenway,shared,2.8275,6.333333333333333,10.8,Lyft
254,6,9,Theatre District,Fenway,black_xl,2.8557142857142854,36.333333333333336,29.75,Uber
255,6,9,Theatre District,Fenway,lux,3.015,24.416666666666668,22.0,Uber
256,6,9,Theatre District,Fenway,standard,3.2483333333333335,11.666666666666666,13.333333333333334,Lyft
257,6,9,Theatre District,Northeastern University,standard,2.0500000000000003,13.5,10.1,Uber
258,6,9,Theatre District,Northeastern University,lux,2.292857142857143,35.5,20.5,Uber
259,6,9,Theatre District,Northeastern University,black_xl,2.556,38.5,29.5,Uber
260,6,9,Theatre District,Northeastern University,xl,2.2359999999999998,22.166666666666668,17.25,Uber
261,6,9,Theatre District,Northeastern University,shared,2.12,6.75,9.125,Lyft
262,6,9,Fenway,Back Bay,xl,1.4759999999999998,13.5,13.5,Lyft
263,6,9,Fenway,Back Bay,standard,1.4914285714285713,7.0,7.666666666666667,Lyft
264,6,9,Fenway,Back Bay,black_xl,1.502,27.0,25.75,Uber
265,6,9,Fenway,Back Bay,lux,1.4985714285714287,15.0,16.166666666666668,Lyft
266,6,9,Fenway,Back Bay,shared,1.4674999999999998,3.25,7.0,Lyft
267,6,9,Fenway,West End,standard,2.7425,9.0,9.333333333333334,Lyft
268,6,9,Fenway,West End,lux,2.7920000000000003,22.625,21.25,Uber
269,6,9,Fenway,West End,shared,2.7900000000000005,7.0,9.125,Lyft
270,6,9,Fenway,West End,xl,2.75,16.5,16.666666666666668,Lyft
271,6,9,Fenway,West End,black_xl,2.7500000000000004,30.0,32.666666666666664,Lyft
272,6,9,Fenway,North Station,standard,3.0942857142857143,11.0,11.083333333333334,Lyft
273,6,9,Fenway,North Station,black_xl,3.191,34.0,35.3125,Lyft
274,6,9,Fenway,North Station,lux,3.210909090909091,25.0,24.214285714285715,Uber
275,6,9,Fenway,North Station,xl,3.11625,19.5,18.333333333333332,Uber
276,6,9,Fenway,Theatre District,lux,2.7175,22.125,21.25,Uber
277,6,9,Fenway,Theatre District,xl,2.635714285714286,19.5,17.8,Uber
278,6,9,Fenway,Theatre District,shared,2.6457142857142864,7.0,9.25,Lyft
279,6,9,Fenway,Theatre District,standard,2.6825,9.0,10.166666666666666,Lyft
280,6,9,Fenway,Financial District,lux,4.172307692307693,29.65,25.666666666666668,Uber
281,6,9,Fenway,Financial District,xl,4.3185714285714285,25.0,20.666666666666668,Uber
282,6,9,Fenway,Financial District,black_xl,4.392000000000001,45.4,37.8,Uber
283,6,9,Fenway,Financial District,standard,4.056,12.75,11.0,Uber
284,6,9,Fenway,Financial District,shared,4.144,9.5,9.875,Lyft
285,6,9,Fenway,Beacon Hill,standard,2.435,9.25,9.0,Uber
286,6,9,Fenway,Beacon Hill,xl,2.4525,15.75,15.25,Uber
287,6,9,Fenway,Beacon Hill,black_xl,2.4383333333333335,30.357142857142858,29.4,Uber
288,6,9,Fenway,Beacon Hill,lux,2.4442857142857144,19.72222222222222,21.2,Lyft
289,6,9,Fenway,Beacon Hill,shared,2.4566666666666666,7.0,8.375,Lyft
290,6,9,Northeastern University,North Station,lux,3.1845454545454546,22.7,26.333333333333332,Lyft
291,6,9,Northeastern University,North Station,xl,3.2275000000000005,18.0,19.0,Lyft
292,6,9,Northeastern University,North Station,black_xl,3.224,36.25,35.666666666666664,Uber
293,6,9,Northeastern University,North Station,shared,3.233333333333333,8.333333333333334,9.833333333333334,Lyft
294,6,9,Northeastern University,North Station,standard,3.20625,12.875,14.75,Lyft
295,6,9,Northeastern University,Theatre District,black_xl,1.8228571428571427,30.0,27.4,Uber
296,6,9,Northeastern University,Theatre District,xl,1.9314285714285713,14.5,14.125,Uber
297,6,9,Northeastern University,Theatre District,lux,1.99,22.357142857142858,18.3,Uber
298,6,9,Northeastern University,Theatre District,standard,1.9757142857142858,9.75,8.3,Uber
299,6,9,Northeastern University,Theatre District,shared,1.7925,7.0,7.0,Lyft
300,6,9,Northeastern University,Financial District,standard,3.87,13.5,12.3,Uber
301,6,9,Northeastern University,Financial District,shared,4.5042857142857144,9.0,10.333333333333334,Lyft
